"Csf-1"	"Csf-2"	"Csf-3"	"Csf-4"	"Csf-5"
-19.01611	-5.5874	-2.76787	0.88336	-1.30717
-17.75275	-6.1354	-2.99563	-0.35799	-2.99563
-14.88943	-5.5508	-1.00718	-1.03112	-0.80539
-18.06074	-6.0427	-1.98138	0.31593	-1.98138
-4.07981	-2.2408	-1.06037	1.00857	-1.06037
-10.89548	-4.2266	-2.80542	-1.66891	-2.80542
-4.28092	0.3472	-0.78539	-1.1269	-1.50271
-5.51318	-2.4105	-1.41943	-0.77057	-1.41943
-6.63656	-2.9254	-3.94748	-2.23734	-3.94748
-2.38822	-2.4356	-2.99605	-2.82326	-2.99605
-4.15609	-3.1139	-3.34864	-1.37189	-3.5274
-8.1495	-5.3411	-1.30118	0.73953	-1.30118
-4.34274	-3.2919	-2.97502	-0.83676	-2.97502
-11.14304	-5.3269	-1.40446	-0.79985	-1.40446
-2.97651	-1.0886	-1.71929	-0.55016	-1.51734
-5.03061	-4.1404	-2.54101	1.29148	-2.54101
-5.47989	-4.2314	-1.46994	-1.48483	-2.22704
-7.7945	-3.25	-1.75511	-1.11798	-0.69777
-8.00194	-3.1399	-2.10269	-3.30037	-2.10269
-11.82169	-4.9922	-1.59658	-1.07709	-1.59658
